Price,Close,High,Low,Open,Volume
Ticker,ELN.MI,ELN.MI,ELN.MI,ELN.MI,ELN.MI
Date,,,,,
2023-01-02,13.271141052246094,13.459117376657717,13.271141052246094,13.4497192326935,18469
2023-01-03,13.468515396118164,13.628295483842974,13.383925832458942,13.468515396118164,38349
2023-01-04,13.524909019470215,13.731682516793034,13.487313756653178,13.618896728341923,37604
2023-01-05,13.647093772888184,13.675289995760927,13.365128855135447,13.496711826102764,34580
2023-01-06,13.562504768371582,13.609498176320809,13.365129407422701,13.515510464080553,33422
2023-01-09,13.759880065917969,13.891463041716383,13.553105665795293,13.56250470587855,42090
2023-01-10,13.6282958984375,13.731682648087435,13.562504411964067,13.722284504549643,33295
2023-01-11,13.6282958984375,13.778676951143506,13.543706332204929,13.60009967514057,35594
2023-01-12,13.731682777404785,13.863266647932612,13.562504539688192,13.665891290311766,55454
2023-01-13,14.06064224243164,14.192226115176247,13.750481088993883,13.750481088993883,98972
2023-01-16,14.05124282836914,14.267416263815134,14.05124282836914,14.164028617859397,43453
2023-01-17,13.872665405273438,14.11703506141439,13.797474879744186,14.11703506141439,47286
2023-01-18,13.872665405273438,14.098236981861193,13.86326636549684,13.957254970579287,35988
2023-01-19,13.825672149658203,14.05124374332699,13.741082577946948,13.835071190146527,47145
2023-01-20,14.00424861907959,14.098237225788225,13.8538675654192,13.88206468523686,26079
2023-01-23,14.00424861907959,14.135832489203322,13.8538675654192,14.079439145909785,60296
2023-01-24,14.079439163208008,14.145231546521599,13.957255229215162,14.070041019599024,39152
2023-01-25,13.778676986694336,14.03244568604681,13.553105407053323,14.03244568604681,70251
2023-01-26,13.891463279724121,13.966653808994852,13.731683180938361,13.95725566509237,52657
2023-01-27,13.825672149658203,13.891463640392807,13.637695821600879,13.891463640392807,33862
2023-01-30,13.675291061401367,13.806874042622225,13.609498674449105,13.806874042622225,41922
2023-01-31,13.421521186828613,13.64709365691901,13.355729701904032,13.581301275652672,69158
2023-02-01,13.675291061401367,13.938457920184915,13.412124202617822,13.412124202617822,62367
2023-02-02,14.088837623596191,14.12643288551095,13.675289742533858,13.694086925320363,67186
2023-02-03,14.5587797164917,14.5587797164917,14.0042488978251,14.098237506404518,147118
2023-02-06,14.77495288848877,14.77495288848877,14.44599366079623,14.53998226766318,148799
2023-02-07,14.840744018554688,14.840744018554688,14.64336866595461,14.793749716251476,86349
2023-02-08,15.01932144165039,15.320083545246945,14.812547943598645,14.812547943598645,163524
2023-02-09,15.009923934936523,15.207299297880477,14.831345756093905,15.019322078816284,116544
2023-02-10,14.5587797164917,15.066317127210391,14.539982532580897,14.906536134088661,68208
2023-02-13,14.699762344360352,14.840744358154303,14.51178513084604,14.69036330441628,51264
2023-02-14,14.727958679199219,14.81254824665183,14.568178584309129,14.662167191776872,47467
2023-02-15,14.878339767456055,14.915935031259144,14.727958712243694,14.765553976046785,43474
2023-02-16,14.944130897521973,14.981726160425682,14.774952662626164,14.906535634618264,42250
2023-02-17,14.934732437133789,14.934732437133789,14.690362785274374,14.915934357909949,38644
2023-02-20,14.737358093261719,15.028721170391554,14.709160972500653,14.953530641045672,32591
2023-02-21,14.803149223327637,14.953530278372153,14.624571944547723,14.671565351992792,38475
2023-02-22,14.765554428100586,14.859543038656708,14.50238757342199,14.840744958008756,76885
2023-02-23,14.793749809265137,14.89713745425059,14.671564981045272,14.671564981045272,30034
2023-02-24,14.6621675491333,15.226097415000662,14.6621675491333,14.897138177187733,95018
2023-02-27,14.812548637390137,14.887739166811055,14.709160987180011,14.709160987180011,43299
2023-02-28,14.690363883972168,14.821947759355004,14.652768619054475,14.812548719040125,49439
2023-03-01,14.840744018554688,14.897137360586893,14.709160151374048,14.774952533135249,36279
2023-03-02,14.868941307067871,14.944131837605264,14.417798123843511,14.82194789773837,48038
2023-03-03,15.103910446166992,15.122708525114197,14.86893983737738,14.981725622035386,61843
2023-03-06,14.98172664642334,15.273090615635077,14.962929462532601,15.179102007155988,63475
2023-03-07,14.793749809265137,15.094511911749867,14.793749809265137,15.047518505492954,34892
2023-03-08,14.887738227844238,14.906535410843025,14.577577089459295,14.840743925834632,34564
2023-03-09,15.122710227966309,15.179102678474361,14.878340552186502,15.038120655862388,79626
2023-03-10,14.370803833007812,15.028721424060116,14.098237935442922,14.915935628137593,233874
2023-03-13,14.173428535461426,14.258018106902988,13.844469290153533,14.220422841411386,89926
2023-03-14,14.492987632751465,14.652767722965777,14.070040704207246,14.286213240178514,44502
2023-03-15,14.05124282836914,14.52118406608277,13.938457038878882,14.52118406608277,46279
2023-03-16,13.299336433410645,14.370802759119826,12.735407495938782,14.145231184131081,256746
2023-03-17,12.133882522583008,13.449718516034606,12.03049577375096,13.3087356079817,210162
2023-03-20,11.51356029510498,11.955305308423481,10.968428532431842,11.870715742432516,434207
2023-03-21,11.372578620910645,11.91771039979643,11.194000443764935,11.607549246166304,569700
2023-03-22,11.194000244140625,11.447768945135307,11.015422966521314,11.447768945135307,379866
2023-03-23,10.987225532531738,11.184600884437902,10.930833087039556,11.128208438945718,193936
2023-03-24,11.269190788269043,11.353780355395589,10.959029639699567,11.137607813931561,593368
2023-03-27,11.325584411621094,11.569954079059453,11.306786331198847,11.46656642942071,135392
